Gene Name,Gene ID,UniProt ID,Protein Name,PDB ID,Receptors (Interacting),Functional Role,Ligands,ligands_struct,kegg_gene_id
AKT3,10000,Q9Y243,RAC-gamma serine/threonine-protein kinase,"2X18, 8ZXW","3-phosphoinositide-dependent protein kinase 1, Endosomal/lysosomal proton channel TMEM175, Heat shock protein HSP 90-alpha, Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform, RAC-alpha serine/threonine-protein kinase, RAC-beta serine/threonine-protein kinase, TNF receptor-associated factor 6","AKT3 is one of 3 closely related serine/threonine-protein kinases (AKT1, AKT2 and AKT3) called the AKT kinase, and which regulate many processes including metabolism, proliferation, cell survival, growth and angiogenesis. This is mediated through serine and/or threonine phosphorylation of a range of downstream substrates. Over 100 substrate candidates have been reported so far, but for most of them, no isoform specificity has been reported. AKT3 is the least studied AKT isoform. It plays an important role in brain development and is crucial for the viability of malignant glioma cells. AKT3 isoform may also be the key molecule in up-regulation and down-regulation of MMP13 via IL13. Required for the coordination of mitochondrial biogenesis with growth factor-induced increases in cellular energy demands. Down-regulation by RNA interference reduces the expression of the phosphorylated form of BAD, resulting in the induction of caspase-dependent apoptosis.","N-((S)-1-amino-3-(3-fluorophenyl)propan-2-yl)-4-bromo-5-(1H-pyrrolo[2,3-b]pyridin-4-yl)thiophene-2-carboxamide (0.002 uM); 4-(2-(4-amino-1,2,5-oxadiazol-3-yl)-1-ethyl-6-(pyrrolidin-1-ylmethyl)-1H-imidazo[4,5-c]pyridin-4-yl)-2-methylbut-3-yn-2-ol (0.022 uM); N-[6-[[(2R)-6-amino-1-[[6-[[(2R)-1-[[(2R)-1-amino-5-(diaminomethylideneamino)-1-oxopentan-2-yl]amino]-5-(diaminomethylideneamino)-1-oxopentan-2-yl]amino]-6-oxohexyl]amino]-1-oxohexan-2-yl]amino]-6-oxohexyl]-3-pyridin-4-ylbenzamide (0.9 uM); 1-(2,4-Dichlorobenzyl)-3-(5-(2-(methylamino)pyrimidin-4-yl)thiophen-2-yl)urea (2.1 uM); (2S)-methyl 3-(2,4-dichlorophenyl)-2-(2-(2-(methylamino)pyrimidin-4-yl)thiophene-5-carboxamido)propanoate (2.4 uM); (-)-Staurosporine (0.17 uM); Ruboxistaurin (1.4 uM); [(2R)-2-methoxy-3-octadecoxypropyl] [(1R,2S,3S,4R,6R)-2,3,4,6-tetrahydroxycyclohexyl] hydrogen phosphate (1.5 uM); Carbonic acid 2-methoxy-3-octadecyloxy-propyl ester 2,3,4,6-tetrahydroxy-5-hydroxymethyl-cyclohexyl ester (5.0 uM); [(2R)-2-methoxy-3-octadecoxypropyl] [(1R,2S,3S,4R,5R,6R)-2,3,4,6-tetrahydroxy-5-(hydroxymethyl)cyclohexyl] carbonate (5.0 uM); N-[(3R,4R)-4-[[4-(2-hydroxy-5-piperidin-1-ylbenzoyl)benzoyl]amino]azepan-3-yl]pyridine-4-carboxamide;trihydrochloride (0.02 uM); 1-(1-{[4-(5-benzyl-6-oxo-3-phenyl-1,6-dihydropyrazin-2-yl)phenyl]methyl}piperidin-4-yl)-2,3-dihydro-1H-1,3-benzodiazol-2-one (3.973 uM)","[{'cid': '44592504', 'name': 'N-((S)-1-amino-3-(3-fluorophenyl)propan-2-yl)-4-bromo-5-(1H-pyrrolo[2,3-b]pyridin-4-yl)thiophene-2-carboxamide', 'potency_um': 0.002}, {'cid': '11959377', 'name': '4-(2-(4-amino-1,2,5-oxadiazol-3-yl)-1-ethyl-6-(pyrrolidin-1-ylmethyl)-1H-imidazo[4,5-c]pyridin-4-yl)-2-methylbut-3-yn-2-ol', 'potency_um': 0.022}, {'cid': '46882134', 'name': 'N-[6-[[(2R)-6-amino-1-[[6-[[(2R)-1-[[(2R)-1-amino-5-(diaminomethylideneamino)-1-oxopentan-2-yl]amino]-5-(diaminomethylideneamino)-1-oxopentan-2-yl]amino]-6-oxohexyl]amino]-1-oxohexan-2-yl]amino]-6-oxohexyl]-3-pyridin-4-ylbenzamide', 'potency_um': 0.9}, {'cid': '44414652', 'name': '1-(2,4-Dichlorobenzyl)-3-(5-(2-(methylamino)pyrimidin-4-yl)thiophen-2-yl)urea', 'potency_um': 2.1}, {'cid': '44414553', 'name': '(2S)-methyl 3-(2,4-dichlorophenyl)-2-(2-(2-(methylamino)pyrimidin-4-yl)thiophene-5-carboxamido)propanoate', 'potency_um': 2.4}, {'cid': '451705', 'name': '(-)-Staurosporine', 'potency_um': 0.17}, {'cid': '153999', 'name': 'Ruboxistaurin', 'potency_um': 1.4}, {'cid': '11979139', 'name': '[(2R)-2-methoxy-3-octadecoxypropyl] [(1R,2S,3S,4R,6R)-2,3,4,6-tetrahydroxycyclohexyl] hydrogen phosphate', 'potency_um': 1.5}, {'cid': '73351458', 'name': 'Carbonic acid 2-methoxy-3-octadecyloxy-propyl ester 2,3,4,6-tetrahydroxy-5-hydroxymethyl-cyclohexyl ester', 'potency_um': 5}, {'cid': '73348313', 'name': '[(2R)-2-methoxy-3-octadecoxypropyl] [(1R,2S,3S,4R,5R,6R)-2,3,4,6-tetrahydroxy-5-(hydroxymethyl)cyclohexyl] carbonate', 'potency_um': 5}, {'cid': '11250806', 'name': 'N-[(3R,4R)-4-[[4-(2-hydroxy-5-piperidin-1-ylbenzoyl)benzoyl]amino]azepan-3-yl]pyridine-4-carboxamide;trihydrochloride', 'potency_um': 0.02}, {'cid': '23647017', 'name': '1-(1-{[4-(5-benzyl-6-oxo-3-phenyl-1,6-dihydropyrazin-2-yl)phenyl]methyl}piperidin-4-yl)-2,3-dihydro-1H-1,3-benzodiazol-2-one', 'potency_um': 3.973}]",hsa:10000
PPIF,10105,P30405,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial","2Z6W, 4O8H, 7R2H","Abl interactor 2, Basic salivary proline-rich protein 3, Complement component 1 Q subcomponent-binding protein, Melanoma-associated antigen 11, Peptidyl-prolyl cis-trans isomerase D, Protein BANP, Type-1 angiotensin II receptor-associated protein, mitochondrial",PPIase that catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides and may therefore assist protein folding (PubMed:20676357). Involved in regulation of the mitochondrial permeability transition pore (mPTP) (PubMed:26387735). It is proposed that its association with the mPTP is masking a binding site for inhibiting inorganic phosphate (Pi) and promotes the open probability of the mPTP leading to apoptosis or necrosis; the requirement of the PPIase activity for this function is debated (PubMed:26387735). In cooperation with mitochondrial p53/TP53 is involved in activating oxidative stress-induced necrosis (PubMed:22726440). Involved in modulation of mitochondrial membrane F(1)F(0) ATP synthase activity and regulation of mitochondrial matrix adenine nucleotide levels (By similarity). Has anti-apoptotic activity independently of mPTP and in cooperation with BCL2 inhibits cytochrome c-dependent apoptosis (PubMed:19228691).,No ligand data available,[],hsa:10105
ATP5PD,10476,O75947,"ATP synthase peripheral stalk subunit d, mitochondrial","8H9F, 8H9S, 8H9U",No receptor interaction,"Subunit d, of the mitochondrial membrane ATP synthase complex (F(1)F(0) ATP synthase or Complex V) that produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain (PubMed:37244256). ATP synthase complex consist of a soluble F(1) head domain - the catalytic core - and a membrane F(1) domain - the membrane proton channel (PubMed:37244256). These two domains are linked by a central stalk rotating inside the F(1) region and a stationary peripheral stalk (PubMed:37244256). During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation (Probable). In vivo, can only synthesize ATP although its ATP hydrolase activity can be activated artificially in vitro (By similarity). Part of the complex F(0) domain (PubMed:37244256). Part of the complex F(0) domain and the peripheric stalk, which acts as a stator to hold the catalytic alpha(3)beta(3) subcomplex and subunit a/ATP6 static relative to the rotary elements (By similarity).",No ligand data available,[],hsa:10476
UQCR11,10975,O14957,Cytochrome b-c1 complex subunit 10,"5XTE, 5XTH, 9CG3",No receptor interaction,"Component of the ubiquinol-cytochrome c oxidoreductase, a multisubunit transmembrane complex that is part of the mitochondrial electron transport chain which drives oxidative phosphorylation. The respiratory chain contains 3 multisubunit complexes succinate dehydrogenase (complex II, CII), ubiquinol-cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII) and cytochrome c oxidase (complex IV, CIV), that cooperate to transfer electrons derived from NADH and succinate to molecular oxygen, creating an electrochemical gradient over the inner membrane that drives transmembrane transport and the ATP synthase. The cytochrome b-c1 complex catalyzes electron transfer from ubiquinol to cytochrome c, linking this redox reaction to translocation of protons across the mitochondrial inner membrane, with protons being carried across the membrane as hydrogens on the quinol. In the process called Q cycle, 2 protons are consumed from the matrix, 4 protons are released into the intermembrane space and 2 electrons are passed to cytochrome c. QCR10 has a role in CIII assembly and RIP1 stability.",No ligand data available,[],hsa:10975
P3R3URF-PIK3R3,110117499,F6TDL0,Phosphatidylinositol 3-kinase regulatory subunit gamma,No PDB IDs,No receptor interaction,"Binds to activated (phosphorylated) protein-tyrosine kinases through its SH2 domain and regulates their kinase activity. During insulin stimulation, it also binds to IRS-1.",No ligand data available,[],hsa:110117499
CMA1,1215,P23946,Chymase,"7H66, 7H68, 7H6F",No receptor interaction,"Major secreted protease of mast cells with suspected roles in vasoactive peptide generation, extracellular matrix degradation, and regulation of gland secretion.","3-(3,4-Dichloro-benzenesulfonyl)-1-phenyl-imidazolidine-2,4-dione (0.018 uM); 3-(3,4-Dichloro-benzenesulfonyl)-1-(3,4-dimethyl-phenyl)-imidazolidine-2,4-dione (0.02 uM); 3-(3,4-Dimethyl-benzenesulfonyl)-1-phenyl-imidazolidine-2,4-dione (0.03 uM); 3-(3,4-Dimethoxy-benzenesulfonyl)-1-phenyl-imidazolidine-2,4-dione (0.11 uM); 3-(3,4-Dichloro-benzenesulfonyl)-1-(3,4-dichloro-phenyl)-imidazolidine-2,4-dione (0.17 uM)","[{'cid': '10620089', 'name': '3-(3,4-Dichloro-benzenesulfonyl)-1-phenyl-imidazolidine-2,4-dione', 'potency_um': 0.018}, {'cid': '10024711', 'name': '3-(3,4-Dichloro-benzenesulfonyl)-1-(3,4-dimethyl-phenyl)-imidazolidine-2,4-dione', 'potency_um': 0.02}, {'cid': '10497621', 'name': '3-(3,4-Dimethyl-benzenesulfonyl)-1-phenyl-imidazolidine-2,4-dione', 'potency_um': 0.03}, {'cid': '10714544', 'name': '3-(3,4-Dimethoxy-benzenesulfonyl)-1-phenyl-imidazolidine-2,4-dione', 'potency_um': 0.11}, {'cid': '10599803', 'name': '3-(3,4-Dichloro-benzenesulfonyl)-1-(3,4-dichloro-phenyl)-imidazolidine-2,4-dione', 'potency_um': 0.17}]",hsa:1215
COX6B2,125965,Q6YFQ2,Cytochrome c oxidase subunit 6B2,No PDB IDs,No receptor interaction,"Component of the cytochrome c oxidase, the last enzyme in the mitochondrial electron transport chain which drives oxidative phosphorylation. The respiratory chain contains 3 multisubunit complexes succinate dehydrogenase (complex II, CII), ubiquinol-cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII) and cytochrome c oxidase (complex IV, CIV), that cooperate to transfer electrons derived from NADH and succinate to molecular oxygen, creating an electrochemical gradient over the inner membrane that drives transmembrane transport and the ATP synthase. Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Electrons originating from reduced cytochrome c in the intermembrane space (IMS) are transferred via the dinuclear copper A center (CU(A)) of subunit 2 and heme A of subunit 1 to the active site in subunit 1, a binuclear center (BNC) formed by heme A3 and copper B (CU(B)). The BNC reduces molecular oxygen to 2 water molecules using 4 electrons from cytochrome c in the IMS and 4 protons from the mitochondrial matrix.",No ligand data available,[],hsa:125965
COL1A1,1277,P02452,Collagen alpha-1(I) chain,"1Q7D, 5CTD, 8YV3","C-type mannose receptor 2, Fibronectin, Platelet glycoprotein VI, Zinc finger and BTB domain-containing protein 7B",Type I collagen is a member of group I collagen (fibrillar forming collagen).,No ligand data available,[],hsa:1277
CPT1B,1375,Q92523,"Carnitine O-palmitoyltransferase 1, muscle isoform",No PDB IDs,Palmitoyl thioesterase CPT1C,"Catalyzes the transfer of the acyl group of long-chain fatty acid-CoA conjugates onto carnitine, an essential step for the mitochondrial uptake of long-chain fatty acids and their subsequent beta-oxidation in the mitochondrion.","5-[[2-(2-Naphthalenyloxy)ethyl]oxy]-alpha-oxo-2-thiopheneacetic acid (0.16 uM); (2R,3S)-4-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(4-aminoimidazo[4,5-c]pyridazin-7-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanylmethyl]-2-octyl-5-oxooxolane-3-carboxylic acid (0.36 uM); 4-(5-Chloro-2-methoxyphenyl)sulfonyl-6-[(3-fluorophenyl)carbamoyl]-2,3-dihydro-1,4-benzoxazine-2-carboxylic acid (3.4 uM); 2-[4-[[1-(2-methoxy-5-methylphenyl)sulfonyl-3,4-dihydro-2H-quinoline-7-carbonyl]amino]phenyl]acetic acid (3.5 uM); Teglicar (5.4 uM)","[{'cid': '15234003', 'name': '5-[[2-(2-Naphthalenyloxy)ethyl]oxy]-alpha-oxo-2-thiopheneacetic acid', 'potency_um': 0.16}, {'cid': '71457921', 'name': '(2R,3S)-4-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(4-aminoimidazo[4,5-c]pyridazin-7-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanylmethyl]-2-octyl-5-oxooxolane-3-carboxylic acid', 'potency_um': 0.36}, {'cid': '16718554', 'name': '4-(5-Chloro-2-methoxyphenyl)sulfonyl-6-[(3-fluorophenyl)carbamoyl]-2,3-dihydro-1,4-benzoxazine-2-carboxylic acid', 'potency_um': 3.4}, {'cid': '24825719', 'name': '2-[4-[[1-(2-methoxy-5-methylphenyl)sulfonyl-3,4-dihydro-2H-quinoline-7-carbonyl]amino]phenyl]acetic acid', 'potency_um': 3.5}, {'cid': '9843897', 'name': 'Teglicar', 'potency_um': 5.4}]",hsa:1375
PARP1,142,P09874,Poly [ADP-ribose] polymerase 1,"6NRH, 7AAC, 9ETQ","Histone-arginine methyltransferase CARM1, Protein mono-ADP-ribosyltransferase PARP9, Tyrosine-protein kinase TXK","Poly-ADP-ribosyltransferase that mediates poly-ADP-ribosylation of proteins and plays a key role in DNA repair (PubMed:17177976, PubMed:18055453, PubMed:18172500, PubMed:19344625, PubMed:19661379, PubMed:20388712, PubMed:21680843, PubMed:22582261, PubMed:23230272, PubMed:25043379, PubMed:26344098, PubMed:26626479, PubMed:26626480, PubMed:30104678, PubMed:31796734, PubMed:32028527, PubMed:32241924, PubMed:32358582, PubMed:33186521, PubMed:34465625, PubMed:34737271). Mediates glutamate, aspartate, serine, histidine or tyrosine ADP-ribosylation of proteins: the ADP-D-ribosyl group of NAD(+) is transferred to the acceptor carboxyl group of target residues and further ADP-ribosyl groups are transferred to the 2'-position of the terminal adenosine moiety, building up a polymer with an average chain length of 20-30 units (PubMed:19764761, PubMed:25043379, PubMed:28190768, PubMed:29954836, PubMed:35393539, PubMed:7852410, PubMed:9315851). Serine ADP-ribosylation of proteins constitutes the primary form of ADP-ribosylation of proteins in response to DNA damage (PubMed:33186521, PubMed:34874266). Specificity for the different amino acids is conferred by interacting factors, such as HPF1 and NMNAT1 (PubMed:28190768, PubMed:29954836, PubMed:32028527, PubMed:33186521, PubMed:33589610, PubMed:34625544, PubMed:34874266). Following interaction with HPF1, catalyzes serine ADP-ribosylation of target proteins; HPF1 confers serine specificity by completing the PARP1 active site (PubMed:28190768, PubMed:29954836, PubMed:32028527, PubMed:33186521, PubMed:33589610, PubMed:34625544, PubMed:34874266). Also catalyzes tyrosine ADP-ribosylation of target proteins following interaction with HPF1 (PubMed:29954836, PubMed:30257210). Following interaction with NMNAT1, catalyzes glutamate and aspartate ADP-ribosylation of target proteins; NMNAT1 confers glutamate and aspartate specificity (By similarity). PARP1 initiates the repair of DNA breaks: recognizes and binds DNA breaks within chromatin and recruits HPF1, licensing serine ADP-ribosylation of target proteins, such as histones (H2BS6ADPr and H3S10ADPr), thereby promoting decompaction of chromatin and the recruitment of repair factors leading to the reparation of DNA strand breaks (PubMed:17177976, PubMed:18172500, PubMed:19344625, PubMed:19661379, PubMed:23230272, PubMed:27067600, PubMed:34465625, PubMed:34874266). HPF1 initiates serine ADP-ribosylation but restricts the polymerase activity of PARP1 in order to limit the length of poly-ADP-ribose chains (PubMed:33683197, PubMed:34732825, PubMed:34795260). In addition to base excision repair (BER) pathway, also involved in double-strand breaks (DSBs) repair: together with TIMELESS, accumulates at DNA damage sites and promotes homologous recombination repair by mediating poly-ADP-ribosylation (PubMed:26344098, PubMed:30356214). Mediates the poly-ADP-ribosylation of a number of proteins, including itself, APLF, CHFR, RPA1 and NFAT5 (PubMed:17396150, PubMed:19764761, PubMed:24906880, PubMed:34049076). In addition to proteins, also able to ADP-ribosylate DNA: catalyzes ADP-ribosylation of DNA strand break termini containing terminal phosphates and a 2'-OH group in single- and double-stranded DNA, respectively (PubMed:27471034). Required for PARP9 and DTX3L recruitment to DNA damage sites (PubMed:23230272). PARP1-dependent PARP9-DTX3L-mediated ubiquitination promotes the rapid and specific recruitment of 53BP1/TP53BP1, UIMC1/RAP80, and BRCA1 to DNA damage sites (PubMed:23230272). PARP1-mediated DNA repair in neurons plays a role in sleep: senses DNA damage in neurons and promotes sleep, facilitating efficient DNA repair (By similarity). In addition to DNA repair, also involved in other processes, such as transcription regulation, programmed cell death, membrane repair, adipogenesis and innate immunity (PubMed:15607977, PubMed:17177976, PubMed:19344625, PubMed:27256882, PubMed:32315358, PubMed:32844745, PubMed:35124853, PubMed:35393539, PubMed:35460603). Acts as a repressor of transcription: binds to nucleosomes and modulates chromatin structure in a manner similar to histone H1, thereby altering RNA polymerase II (PubMed:15607977, PubMed:22464733). Acts both as a positive and negative regulator of transcription elongation, depending on the context (PubMed:27256882, PubMed:35393539). Acts as a positive regulator of transcription elongation by mediating poly-ADP-ribosylation of NELFE, preventing RNA-binding activity of NELFE and relieving transcription pausing (PubMed:27256882). Acts as a negative regulator of transcription elongation in response to DNA damage by catalyzing poly-ADP-ribosylation of CCNT1, disrupting the phase separation activity of CCNT1 and subsequent activation of CDK9 (PubMed:35393539). Involved in replication fork progression following interaction with CARM1: mediates poly-ADP-ribosylation at replication forks, slowing fork progression (PubMed:33412112). Poly-ADP-ribose chains generated by PARP1 also play a role in poly-ADP-ribose-dependent cell death, a process named parthanatos (By similarity). Also acts as a negative regulator of the cGAS-STING pathway (PubMed:32315358, PubMed:32844745, PubMed:35460603). Acts by mediating poly-ADP-ribosylation of CGAS: PARP1 translocates into the cytosol following phosphorylation by PRKDC and catalyzes poly-ADP-ribosylation and inactivation of CGAS (PubMed:35460603). Acts as a negative regulator of adipogenesis: catalyzes poly-ADP-ribosylation of histone H2B on 'Glu-35' (H2BE35ADPr) following interaction with NMNAT1, inhibiting phosphorylation of H2B at 'Ser-36' (H2BS36ph), thereby blocking expression of pro-adipogenetic genes (By similarity). Involved in the synthesis of ATP in the nucleus, together with NMNAT1, PARG and NUDT5 (PubMed:27257257). Nuclear ATP generation is required for extensive chromatin remodeling events that are energy-consuming (PubMed:27257257).","2-(4-Trifluoromethyl-phenyl)-1H-benzoimidazole-4-carboxylic acid amide (0.0012 uM); 2-(4-Hydroxymethyl-phenyl)-1H-benzoimidazole-4-carboxylic acid amide (0.0016 uM); 2-(3-Hydroxy-4-methoxy-phenyl)-1H-benzoimidazole-4-carboxylic acid amide (0.002 uM); 2-(4-Cyano-phenyl)-1H-benzoimidazole-4-carboxylic acid amide (0.004 uM); 2-Benzo[1,3]dioxol-5-yl-1H-benzoimidazole-4-carboxylic acid amide (0.0059 uM)","[{'cid': '10804503', 'name': '2-(4-Trifluoromethyl-phenyl)-1H-benzoimidazole-4-carboxylic acid amide', 'potency_um': 0.0012}, {'cid': '10778228', 'name': '2-(4-Hydroxymethyl-phenyl)-1H-benzoimidazole-4-carboxylic acid amide', 'potency_um': 0.0016}, {'cid': '10684365', 'name': '2-(3-Hydroxy-4-methoxy-phenyl)-1H-benzoimidazole-4-carboxylic acid amide', 'potency_um': 0.002}, {'cid': '10730177', 'name': '2-(4-Cyano-phenyl)-1H-benzoimidazole-4-carboxylic acid amide', 'potency_um': 0.004}, {'cid': '10540758', 'name': '2-Benzo[1,3]dioxol-5-yl-1H-benzoimidazole-4-carboxylic acid amide', 'potency_um': 0.0059}]",hsa:142
